287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,
277,277,279,280,279,280,279,280,279,280,279,280,277,277,277,277,277,277,279,280,279,280,279,280,279,280,279,280,277,277,277,277,277,277,277,277,277,277,277,277,309,310,311,312,311,312,287,
295,296,295,296,295,296,295,296,295,296,295,296,277,277,277,277,295,296,295,296,295,296,295,296,295,296,295,296,277,277,277,277,277,277,277,277,277,277,277,277,281,281,301,302,301,302,287,
323,324,323,324,323,324,323,324,323,324,323,324,279,280,279,280,323,324,323,324,323,324,323,324,323,324,323,324,279,280,279,280,279,280,279,280,279,280,279,280,282,328,329,330,329,330,287,
295,296,307,308,295,296,295,296,295,296,295,296,295,296,295,296,295,296,307,308,295,296,295,296,295,296,295,296,295,296,295,296,295,296,295,296,307,308,307,308,282,338,339,340,301,302,287,
323,324,335,336,323,324,323,324,323,324,323,324,323,324,323,324,323,324,335,336,323,324,323,324,323,324,323,324,323,324,323,324,323,324,323,324,335,336,335,336,282,366,367,368,329,330,287,
307,308,287,288,307,308,307,308,307,308,307,308,307,308,307,308,307,308,287,288,307,308,307,308,307,308,307,308,307,308,307,308,307,308,307,308,282,282,282,282,282,338,339,368,301,302,287,
335,336,371,372,335,336,335,336,335,336,335,336,335,336,335,336,335,336,371,372,335,336,335,336,335,336,335,336,335,336,335,336,335,336,335,336,371,372,282,282,282,366,367,368,329,330,287,
351,352,353,354,249,249,351,352,351,352,249,249,351,352,249,249,351,352,353,354,249,249,351,352,351,352,249,249,351,352,249,249,249,249,249,249,353,354,249,249,249,366,339,201,366,394,287,
379,380,381,382,383,384,379,380,379,380,383,384,379,380,383,384,379,380,381,382,383,384,379,380,379,380,383,384,379,380,383,384,383,384,385,386,381,382,387,388,389,315,316,368,316,422,287,
401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,287
