0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,32,63,64,35,36,69,70,69,70,63,64,35,36,69,70,69,70,63,64,71,72,69,70,69,70,63,64,35,36,69,70,69,70,63,64,35,36,95,96,69,70,69,70,69,70,69,70,63,64,35,36,73,74,63,64,43,44,69,70,69,70,39,40,63,64,39,40,63,64,39,40,63,64,39,40,63,64,69,70,39,40,69,70,69,43,44,43,44,70,73,74,63,64,123,46,47,48,49,48,49,50,145,146,143,144,170,171,172,170,171,172,141,142,49,50,141,142,49,50,48,49,172,170,171,172,162,163,70,70,70,70,145,146,89,90,69,69,145,146,39,40,69,70,145,146,35,36,178,179,85,86,69,70,87,88,91,92,85,86,69,70,87,88,91,92,85,86,69,70,71,72,39,40,123,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,62,91,92,65,66,67,68,69,70,91,92,65,66,67,68,69,70,91,92,99,100,67,68,69,70,91,92,65,66,67,68,69,70,91,92,65,66,73,74,97,98,97,98,97,98,97,98,91,92,75,70,73,74,91,92,97,98,97,98,97,98,95,96,91,92,73,74,91,92,73,74,91,92,73,74,91,92,97,98,73,74,97,98,69,70,69,70,69,98,73,74,91,92,151,78,79,80,81,82,83,84,113,114,171,172,115,116,115,116,115,116,113,114,81,82,145,146,49,50,48,49,115,116,115,48,49,78,98,98,61,62,145,146,69,69,97,69,145,146,73,74,97,98,145,146,65,66,61,62,178,179,117,118,119,120,91,92,121,122,117,118,119,120,91,92,121,122,117,118,37,38,73,74,123,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,90,63,64,93,94,95,96,97,98,63,64,65,94,95,96,97,98,63,64,65,69,95,96,97,98,63,64,65,94,95,96,97,98,63,64,65,94,101,102,97,98,125,126,125,126,125,126,63,64,103,70,101,102,63,64,125,126,125,126,125,126,43,44,63,64,101,102,63,64,101,102,63,64,101,102,63,64,125,126,101,102,69,69,97,98,97,98,97,98,101,102,63,64,123,106,79,108,109,110,111,112,141,142,143,144,143,144,143,144,143,144,141,142,109,110,145,146,49,50,48,49,143,144,143,48,49,106,69,69,89,90,145,146,97,97,97,69,145,146,101,102,97,98,145,146,93,94,89,90,178,179,145,146,147,148,91,92,149,150,145,146,147,148,91,92,149,150,145,146,35,36,101,102,151,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,70,91,92,75,70,73,74,69,70,91,92,65,70,73,74,69,70,91,92,65,70,73,74,69,70,91,92,65,70,73,74,69,70,91,92,65,70,73,74,69,70,97,98,125,126,127,128,386,387,69,70,133,134,133,134,135,136,137,97,98,70,97,98,91,92,73,74,91,92,73,74,91,92,73,74,91,92,67,68,73,74,97,97,125,126,127,128,183,184,125,126,386,387,151,140,107,48,49,48,49,50,386,387,171,170,171,172,173,174,173,174,145,146,173,174,145,146,49,50,81,82,48,48,48,48,49,140,66,97,133,133,133,133,135,136,137,97,145,146,73,74,69,70,145,146,75,94,178,179,178,179,145,146,69,70,91,92,69,179,145,146,69,70,91,92,67,68,145,146,75,70,73,74,77,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,98,63,64,103,98,101,102,97,98,63,64,93,98,101,102,97,98,63,64,65,98,101,102,97,98,63,64,93,98,101,102,97,98,63,64,65,98,101,102,97,98,125,126,126,185,186,156,157,158,159,160,161,162,157,158,163,231,232,125,126,98,125,126,63,64,101,102,63,64,101,102,63,64,101,102,63,64,95,96,101,102,125,125,126,185,186,156,157,158,159,160,161,162,163,156,163,263,264,263,264,265,266,267,170,170,171,172,201,202,201,202,145,146,201,202,145,146,49,50,109,110,269,270,271,272,269,270,271,272,263,264,265,266,267,164,165,166,145,146,101,102,97,98,145,146,103,94,178,179,178,179,145,146,69,70,91,92,97,179,145,146,69,70,91,92,95,96,145,146,103,70,101,102,105,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,70,91,92,69,70,73,74,69,70,91,92,75,70,73,74,67,68,91,92,65,70,73,74,67,68,91,92,75,70,73,74,67,68,91,92,65,70,73,74,97,98,185,128,233,213,214,70,91,92,69,70,61,62,91,92,125,180,260,165,125,126,183,184,91,92,73,74,91,92,73,74,91,92,73,74,91,92,39,40,73,74,125,126,185,213,177,69,70,70,69,70,91,92,45,46,47,116,173,174,173,174,145,146,170,171,239,240,172,172,173,174,229,230,229,230,209,210,49,50,239,240,49,50,81,82,321,322,71,72,178,179,117,118,179,180,164,165,133,134,69,70,183,184,183,135,136,137,206,178,179,179,145,146,69,70,91,92,125,179,145,146,69,70,91,92,61,62,145,146,70,126,127,128,139,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,98,63,64,97,98,101,102,97,98,63,64,103,98,101,102,95,96,63,64,93,98,101,102,95,96,63,64,103,98,101,102,95,96,63,64,93,98,101,102,69,185,186,156,157,158,97,98,63,64,97,98,89,90,63,64,125,125,263,264,265,266,267,262,63,64,101,102,63,64,101,102,63,64,101,102,63,64,43,44,101,102,69,185,213,177,69,70,98,98,97,98,63,64,123,46,47,144,201,202,201,202,145,146,263,264,265,268,240,172,201,202,230,258,230,258,117,118,209,210,265,268,240,172,109,110,321,322,99,100,206,207,145,146,69,70,263,264,266,267,263,263,264,265,266,267,164,165,166,206,207,179,145,146,69,70,91,92,69,179,145,146,69,70,91,92,89,90,145,146,126,154,155,265,266,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
